stratum,class,comment,summary,Expand,rational,deprecation,usage,exception,todo,Incomplete,Commentedcode,directive,formatter,License,Ownership,Pointer,Autogenerated,Noise,Warning,Recommendation,Precondition,CodingGuidelines,Extension,Subclassexplnation,Observation
3,CDebugModelPresentation.java,* @see IDebugModelPresentation,,,,,,,,,,,,,,@see IDebugModelPresentation,,,,,,,,,
3,CElementDelta.java,* @see ICElementDelta,,,,,,,,,,,,,,@see ICElementDelta,,,,,,,,,
3,ClangToolChain.java,"* The Clang toolchain. There's little different from the GCC toolchain other
 * than the toolchain type and name.
 *
 * @author dschaefer
 *",The Clang toolchain.,There's little different from the GCC toolchain other than the toolchain type and name.,,,,,,,,,,,@author dschaefer,,,,,,,,,,
3,CommonBuildTab.java,"* Common utilities for Core Build launch configuration tabs.
 *
 * @since 9.1",Common utilities for Core Build launch configuration tabs.,,,@since 9.1,,,,,,,,,,,,,,,,,,,
3,ContainerTabModel.java,"* @since 1.2.1
 * @author jjohnstn
 *",,,,@since 1.2.1,,,,,,,,,@author jjohnstn,,,,,,,,,,
3,CoreBuildGenericLaunchConfigProvider.java,"* Core launch configuration provider used by generic target types.
 *
 * @since 8.3",Core launch configuration provider used by generic target types.,,,@since 8.3,,,,,,,,,,,,,,,,,,,
3,CPPASTProblem.java,* C++-specific implementation allows actions to visit the problem.,C++-specific implementation allows actions to visit the problem.,,,,,,,,,,,,,,,,,,,,,,
3,CPPASTReferenceOperator.java,* Reference operator for declarators.,Reference operator for declarators,,,,,,,,,,,,,,,,,,,,,,
3,CPPDeferredFunction.java,"* Represents a reference to a (member) function (instance), which cannot be resolved because
 * an argument depends on a template parameter. A compiler would resolve it during instantiation.","Represents a reference to a (member) function (instance), which cannot be resolved because an argument depends on a template parameter.",A compiler would resolve it during instantiation.,,,,,,,,,,,,,,,,,,,,,
3,CPPImplicitVariable.java,"* Represents a variable implicitly created in C++ code.
 * For example the initializer of a structured binding decomposition [dcl.struct.bind]:
 * <code>auto [first, second] = decomposed;</code>
 *
 * The <code>initializerEvaluation</code> has to be supplied.
 *",Represents a variable implicitly created in C++ code.,,,,"For example the initializer of a structured binding decomposition [dcl.struct.bind]:
  <code>auto [first, second] = decomposed;</code>
  
 The <code>initializerEvaluation</code> has to be supplied.",,,,,,,,,,,,,,,,,,
3,CPPTemplates.java,"* Collection of static methods to perform template instantiation, member specialization and
 * type instantiation.","Collection of static methods to perform template instantiation, member specialization and type instantiation.",,,,,,,,,,,,,,,,,,,,,,
3,CPropertyTester.java,* A property tester that determines if a file is an executable or a C/C++ project.,A property tester that determines if a file is an executable or a C/C++ project.,,,,,,,,,,,,,,,,,,,,,,
3,CUIPreferenceInitializer.java,"* This class implements the setting of the CUI initial preference store settings.
 *
 * @noextend This class is not intended to be subclassed by clients.",This class implements the setting of the CUI initial preference store settings.,,,,@noextend This class is not intended to be subclassed by clients.,,,,,,,,,,,,,,,,,,
3,CWordFinder.java,"* This is a helper class for the text editor to be able to determine, given a
 * particular offset in a document, various candidates segments for things like
 * context help, proposals and hovering.","This is a helper class for the text editor to be able to determine, given a particular offset in a document, various candidates segments for things like context help, proposals and hovering.",,,,,,,,,,,,,,,,,,,,,,
3,DefaultEnvironmentContextInfo.java,"* The default implementation of the IContextInfo used by the Environment Variable Provider
 * Used to represent the Configuration, Project, Workspace and Eclipse environment contexts
 *
 * @since 3.0",The default implementation of the IContextInfo used by the Environment Variable Provider,,"Used to represent the Configuration, Project, Workspace and Eclipse environment contexts",@since 3.0,,,,,,,,,,,,,,,,,,,
3,DefaultFortranDependencyCalculator.java,"*
 *  This class implements the Dependency Manager and Output Name Provider interfaces
 *  for a very ""quick & dirty"" ifort tool-chain on Win32","This class implements the Dependency Manager and Output Name Provider interfaces for a very ""quick & dirty"" ifort tool-chain on Win32",,,,,,,,,,,,,,,,,,,,,,
3,DisplayDsfExecutor.java,"* DSF executor which uses the display thread to run the submitted runnables
 * and callables.  The implementation is based on the default DSF executor
 * which still creates its own thread.  However this thread blocks when running
 * each executable in the display thread.
 *
 * @since 1.0",DSF executor which uses the display thread to run the submitted runnables and callables.,The implementation is based on the default DSF executor which still creates its own thread. However this thread blocks when running each executable in the display thread.,,@since 1.0,,,,,,,,,,,,,,,,,,,
3,DocCommentOwnerBlock.java,"* Project property page for setting documentation comment owner.
 * <em>This class is not intended for use outside of CDT</em>
 *
 * @noextend This class is not intended to be subclassed by clients.
 * @noinstantiate This class is not intended to be instantiated by clients.",Project property page for setting documentation comment owner.,,,,"<em>This class is not intended for use outside of CDT</em>
 
 
  @noextend This class is not intended to be subclassed by clients. 
 @noinstantiate This class is not intended to be instantiated by clients.",,,,,,,,,,,,,,,,,,
3,DOMGCCParserExtensionTestSuite.java,"*
 * @author jcamelon
 *",,,,,,,,,,,,,@author jcamelon,,,,,,,,,,
3,DOMParserTestSuite.java,* @author jcamelon,,,,,,,,,,,,,@author jcamelon,,,,,,,,,,
3,DsfDebugUITools.java,* @since 1.1,,,,@since 1.1,,,,,,,,,,,,,,,,,,,
3,DummyPage.java,This class is just to replace a category reference in org.eclipse.cdt.ui that| we exclude because we do not bring in the org.eclipse.cdt.managedbuild.ui plug-in.,This class is just to replace a category reference in org.eclipse.cdt.ui,,that| we exclude because we do not bring in the org.eclipse.cdt.managedbuild.ui plug-in.,,,,,,,,,,,,,,,,,,,,
3,ElementNumberFormatsContribution.java,"* Dynamic menu contribution that shows available number formats in the current
 * selection of the view.
 *
 * @since 2.2",Dynamic menu contribution that shows available number formats in the current selection of the view.,,,@since 2.2,,,,,,,,,,,,,,,,,,,
3,FindStdLibPath.java,"* The purpose is to find a path where stdc++ library is located.
 * Currently the shell script is only for Linux.
 *
 * TODO: It might not be able to execute scripts therefore place the command into a variable.",,,The purpose is to find a path where stdc++ library is located.,,Currently the shell script is only for Linux.,,TODO: It might not be able to execute scripts therefore place the command into a variable.,,,,,,,,,,,,,,,,
3,FoldingConfigurationBlock.java,"* Configures C Editor folding preferences.
 *
 * @since 3.0",Configures C Editor folding preferences,,,@since 3.0,,,,,,,,,,,,,,,,,,,
3,FormattedValueTests.java,"* Tests to verify the operation of FormattedValuesVMUtil
 * @since 2.2
 |
	 * helper class that stores some element paths and nodes using a certain format",Tests to verify the operation of FormattedValuesVMUtil,helper class that stores some element paths and nodes using a certain forma,,@since 2.2,,,,,,,,,,,,,,,,,,,
3,GCCKeywords.java,"* @noextend This interface is not intended to be extended by clients.
 * @noinstantiate This class is not intended to be instantiated by clients.",,,,,"@noextend This interface is not intended to be extended by clients.
  @noinstantiate This class is not intended to be instantiated by clients.",,,,,,,,,,,,,,,,,,
3,GDBControl_7_12.java,"* Need a new FinalLaunchSequence for GDB 7.12
 * @since 5.2",,,,"Need a new FinalLaunchSequence for GDB 7.12
 @since 5.2",,,,,,,,,,,,,,,,,,,
3,GdbExpressionVMProvider.java,"* A specialization of ExpressionVMProvider that uses a GDB-specific variable VM
 * node. To understand why this is necessary, see GdbVariableVMNode.",A specialization of ExpressionVMProvider,that uses a GDB-specific variable VM node,,,,,,,,,,,,"To understand why this is necessary, see GdbVariableVMNode",,,,,,,,,
3,GDBSourceLookup.java,"* Default implementation of {@link IGDBSourceLookup}
 *
 * @since 5.0",Default implementation of {@link IGDBSourceLookup},,,@since 5.0,,,,,,,,,,,,,,,,,,,
3,GnuMakefileGenerator.java,"* This is a specialized makefile generator that takes advantage of the
 * extensions present in Gnu Make.
 *
 * @since 1.2
 * @noinstantiate This class is not intended to be instantiated by clients.
 | String constants for makefile contents and messages|private static final String AUTO_DEP = COMMENT + "".autodeps"";        //$NON-NLS-1$|private static final String MESSAGE = ""ManagedMakeBuilder.message"";        //$NON-NLS-1$|private static final String BUILD_ERROR = MESSAGE + "".error"";        //$NON-NLS-1$|private static final String DEP_INCL = COMMENT + "".module.dep.includes"";        //$NON-NLS-1$|private static final String MOD_INCL = COMMENT + "".module.make.includes"";        //$NON-NLS-1$|        private ITool[] buildTools;|        private boolean[] buildToolsUsed;|        private IManagedBuildInfo info;|        private Set outputExtensionsSet;|=== Maps of macro names (String) to values (List)| Dependency file variables|        private Vector dependencyMakefiles;                //  IPath's - relative to the top build directory or absolute|***********************************************************************
         *   IManagedBuilderMakefileGenerator   M E T H O D S
         ***********************************************************************|***********************************************************************
         *   M A K E F I L E S   P O P U L A T I O N   M E T H O D S
         ***********************************************************************|***********************************************************************
         *   M A I N (makefile)   M A K E F I L E   M E T H O D S
         ***********************************************************************|***********************************************************************
         *   S O U R C E S (sources.mk)   M A K E F I L E   M E T H O D S
         ***********************************************************************|***********************************************************************
         *   F R A G M E N T (subdir.mk)   M A K E F I L E   M E T H O D S
         ***********************************************************************|***********************************************************************
         *   M A K E F I L E   G E N E R A T I O N   C O M M O N   M E T H O D S
         ***********************************************************************|
         * Adds a macro addition prefix to a map of macro names to entries.
         * Entry prefixes look like:
         *         C_SRCS += \
         *         ${addprefix $(ROOT)/, \
         |***********************************************************************
         *   R E S O U R C E   V I S I T O R   M E T H O D S
         ***********************************************************************|***********************************************************************
         *   O T H E R   M E T H O D S
         ***********************************************************************|
         * Process a String denoting a filepath in a way compatible for GNU Make rules, handling
         * windows drive letters and whitespace appropriately.
         * <p><p>
         * The context these paths appear in is on the right hand side of a rule header. i.e.
         * <p><p>
         * target : dep1 dep2 dep3
         * <p>
         * @param path the String denoting the path to process
         * @throws NullPointerException is path is null
         * @return a suitable Make rule compatible path
         |
         * This class walks the delta supplied by the build system to determine
         * what resources have been changed. The logic is very simple. If a
         * buildable resource (non-header) has been added or removed, the directories
         * in which they are located are ""dirty"" so the makefile fragments for them
         * have to be regenerated.
         * <p>
         * The actual dependencies are recalculated as a result of the build step
         * itself. We are relying on make to do the right things when confronted
         * with a dependency on a moved header file. That said, make will treat
         * the missing header file in a dependency rule as a target it has to build
         * unless told otherwise. These dummy targets are added to the makefile
         * to avoid a missing target error.
         | String constants for makefile contents and messages|private static final String AUTO_DEP = COMMENT + "".autodeps"";        //$NON-NLS-1$|private static final String MESSAGE = ""ManagedMakeBuilder.message"";        //$NON-NLS-1$|private static final String BUILD_ERROR = MESSAGE + "".error"";        //$NON-NLS-1$|private static final String DEP_INCL = COMMENT + "".module.dep.includes"";        //$NON-NLS-1$|private static final String MOD_INCL = COMMENT + "".module.make.includes"";        //$NON-NLS-1$|        private ITool[] buildTools;|        private boolean[] buildToolsUsed;|        private IManagedBuildInfo info;|        private Set outputExtensionsSet;|=== Maps of macro names (String) to values (List)| Dependency file variables|        private Vector dependencyMakefiles;                //  IPath's - relative to the top build directory or absolute|***********************************************************************
         *   IManagedBuilderMakefileGenerator   M E T H O D S
         ***********************************************************************|***********************************************************************
         *   M A K E F I L E S   P O P U L A T I O N   M E T H O D S
         ***********************************************************************|***********************************************************************
         *   M A I N (makefile)   M A K E F I L E   M E T H O D S
         ***********************************************************************|***********************************************************************
         *   S O U R C E S (sources.mk)   M A K E F I L E   M E T H O D S
         ***********************************************************************|***********************************************************************
         *   F R A G M E N T (subdir.mk)   M A K E F I L E   M E T H O D S
         ***********************************************************************|***********************************************************************
         *   M A K E F I L E   G E N E R A T I O N   C O M M O N   M E T H O D S
         ***********************************************************************|
         * Adds a macro addition prefix to a map of macro names to entries.
         * Entry prefixes look like:
         *         C_SRCS += \
         *         ${addprefix $(ROOT)/, \
         |***********************************************************************
         *   R E S O U R C E   V I S I T O R   M E T H O D S
         ***********************************************************************|***********************************************************************
         *   O T H E R   M E T H O D S
         ***********************************************************************|
         * Process a String denoting a filepath in a way compatible for GNU Make rules, handling
         * windows drive letters and whitespace appropriately.
         * <p><p>
         * The context these paths appear in is on the right hand side of a rule header. i.e.
         * <p><p>
         * target : dep1 dep2 dep3
         * <p>
         * @param path the String denoting the path to process
         * @throws NullPointerException is path is null
         * @return a suitable Make rule compatible path
         |
         * This class is used to recursively walk the project and determine which
         * modules contribute buildable source files.",This is a specialized makefile generator that takes advantage of the extensions present in Gnu Make.,,,@since 1.2,"@noinstantiate This class is not intended to be instantiated by clients.
  | String constants for makefile contents and messages|private static final String AUTO_DEP = COMMENT + "".autodeps""; //$NON-NLS-1$|private static final String MESSAGE = ""ManagedMakeBuilder.message""; //$NON-NLS-1$|private static final String BUILD_ERROR = MESSAGE + "".error""; //$NON-NLS-1$|private static final String DEP_INCL = COMMENT + "".module.dep.includes""; //$NON-NLS-1$|private static final String MOD_INCL = COMMENT + "".module.make.includes""; //$NON-NLS-1$| private ITool[] buildTools;| private boolean[] buildToolsUsed;| private IManagedBuildInfo info;| private Set outputExtensionsSet;|=== Maps of macro names (String) to values (List)| Dependency file variables| private Vector dependencyMakefiles; // IPath's - relative to the top build directory or absolute|***********************************************************************
  * IManagedBuilderMakefileGenerator M E T H O D S
  ***********************************************************************|***********************************************************************
  * M A K E F I L E S P O P U L A T I O N M E T H O D S
  ***********************************************************************|***********************************************************************
  * M A I N (makefile) M A K E F I L E M E T H O D S
  ***********************************************************************|***********************************************************************
  * S O U R C E S (sources.mk) M A K E F I L E M E T H O D S
  ***********************************************************************|***********************************************************************
  * F R A G M E N T (subdir.mk) M A K E F I L E M E T H O D S
  ***********************************************************************|***********************************************************************
  * M A K E F I L E G E N E R A T I O N C O M M O N M E T H O D S
  ***********************************************************************|
  * Adds a macro addition prefix to a map of macro names to entries.
  * Entry prefixes look like:
  * C_SRCS += \
  * ${addprefix $(ROOT)/, \
  |***********************************************************************
  * R E S O U R C E V I S I T O R M E T H O D S
  ***********************************************************************|***********************************************************************
  * O T H E R M E T H O D S
  ***********************************************************************|
  * Process a String denoting a filepath in a way compatible for GNU Make rules, handling
  * windows drive letters and whitespace appropriately.
  * <p><p>
  * The context these paths appear in is on the right hand side of a rule header. i.e.
  * <p><p>
  * target : dep1 dep2 dep3
  * <p>
  * @param path the String denoting the path to process
  * @throws NullPointerException is path is null
  * @return a suitable Make rule compatible path
  |
  * This class walks the delta supplied by the build system to determine
  * what resources have been changed. The logic is very simple. If a
  * buildable resource (non-header) has been added or removed, the directories
  * in which they are located are ""dirty"" so the makefile fragments for them
  * have to be regenerated.
  * <p>
  * The actual dependencies are recalculated as a result of the build step
  * itself. We are relying on make to do the right things when confronted
  * with a dependency on a moved header file. That said, make will treat
  * the missing header file in a dependency rule as a target it has to build
  * unless told otherwise. These dummy targets are added to the makefile
  * to avoid a missing target error.
  | String constants for makefile contents and messages|private static final String AUTO_DEP = COMMENT + "".autodeps""; //$NON-NLS-1$|private static final String MESSAGE = ""ManagedMakeBuilder.message""; //$NON-NLS-1$|private static final String BUILD_ERROR = MESSAGE + "".error""; //$NON-NLS-1$|private static final String DEP_INCL = COMMENT + "".module.dep.includes""; //$NON-NLS-1$|private static final String MOD_INCL = COMMENT + "".module.make.includes""; //$NON-NLS-1$| private ITool[] buildTools;| private boolean[] buildToolsUsed;| private IManagedBuildInfo info;| private Set outputExtensionsSet;|=== Maps of macro names (String) to values (List)| Dependency file variables| private Vector dependencyMakefiles; // IPath's - relative to the top build directory or absolute|***********************************************************************
  * IManagedBuilderMakefileGenerator M E T H O D S
  ***********************************************************************|***********************************************************************
  * M A K E F I L E S P O P U L A T I O N M E T H O D S
  ***********************************************************************|***********************************************************************
  * M A I N (makefile) M A K E F I L E M E T H O D S
  ***********************************************************************|***********************************************************************
  * S O U R C E S (sources.mk) M A K E F I L E M E T H O D S
  ***********************************************************************|***********************************************************************
  * F R A G M E N T (subdir.mk) M A K E F I L E M E T H O D S
  ***********************************************************************|***********************************************************************
  * M A K E F I L E G E N E R A T I O N C O M M O N M E T H O D S
  ***********************************************************************|
  * Adds a macro addition prefix to a map of macro names to entries.
  * Entry prefixes look like:
  * C_SRCS += \
  * ${addprefix $(ROOT)/, \
  |***********************************************************************
  * R E S O U R C E V I S I T O R M E T H O D S
  ***********************************************************************|***********************************************************************
  * O T H E R M E T H O D S
  ***********************************************************************|
  * Process a String denoting a filepath in a way compatible for GNU Make rules, handling
  * windows drive letters and whitespace appropriately.
  * <p><p>
  * The context these paths appear in is on the right hand side of a rule header. i.e.
  * <p><p>
  * target : dep1 dep2 dep3
  * <p>
  * @param path the String denoting the path to process
  * @throws NullPointerException is path is null
  * @return a suitable Make rule compatible path
  |
  * This class is used to recursively walk the project and determine which
  * modules contribute buildable source files.",,,,,,,,,,,,,,,,,,
3,GroupDebugContextsCommandHandler.java,"* Command handler to trigger grouping of debug contexts operation.
 *
 * @since 7.1",Command handler to trigger grouping of debug contexts operation.,,,@since 7.1,,,,,,,,,,,,,,,,,,,
3,IBHistoryAction.java,* Action used for the include browser forward / backward buttons,Action used for the include browser forward / backward buttons,,,,,,,,,,,,,,,,,,,,,,
3,IBuildObject.java,"* @noextend This class is not intended to be subclassed by clients.
 * @noimplement This interface is not intended to be implemented by clients.",,,,,"@noextend This class is not intended to be subclassed by clients 
 @noimplement This interface is not intended to be implemented by clients.",,,,,,,,,,,,,,,,,,
3,ICLanguageSettingPathEntry.java,"* Representation in the project model of language settings entries of
 * path-kind such as include paths (-I) or include files and others.
 * See interface hierarchy for more specifics.",Representation in the project model of language settings entries of path-kind such as include paths (-I) or include files and others.,,,,,,,,,,,,,See interface hierarchy for more specifics.,,,,,,,,,
3,ICLibraryFileEntry.java,"* Representation in the project model of language settings entries
 * such as library file (-l gcc option). See {@link ICSettingEntry#LIBRARY_FILE}.",Representation in the project model of language settings entries such as library file (-l gcc option).,,,,,,,,,,,,,See {@link ICSettingEntry#LIBRARY_FILE}.,,,,,,,,,
3,ICodeReaderFactory.java,"* This is the interface that an AST Service uses to delegate the construction
 * of a CodeReader.
 *
 * @author jcamelon
 * @deprecated replaced by {@link IncludeFileContentProvider}
 * @noreference This interface is not intended to be referenced by clients.",This is the interface that an AST Service uses to delegate the construction of a CodeReader.,,,@deprecated replaced by {@link IncludeFileContentProvider},@noreference This interface is not intended to be referenced by clients.,,,,,,,,@author jcamelon,{@link IncludeFileContentProvider},,,,,,,,,
3,ICPointerType.java,"* @noextend This interface is not intended to be extended by clients.
 * @noimplement This interface is not intended to be implemented by clients.",,,,,"@noextend This class is not intended to be subclassed by clients 
 @noimplement This interface is not intended to be implemented by clients.",,,,,,,,,,,,,,,,,,
3,ICPPAliasTemplateInstance.java,"* Represents an instance of an alias template (14.5.7).
 * @since 5.5
 *
 * @noextend This interface is not intended to be extended by clients.
 * @noimplement This interface is not intended to be implemented by clients.",Represents an instance of an alias template (14.5.7).,,,@since 5.5,"@noextend This interface is not intended to be extended by clients. 
  @noimplement This interface is not intended to be implemented by clients.",,,,,,,,,,,,,,,,,,
3,ICPPASTLinkageSpecification.java,"* This interface represents a linkage specification. e.g. extern ""C"" { ... }
 *
 * @noextend This interface is not intended to be extended by clients.
 * @noimplement This interface is not intended to be implemented by clients.","This interface represents a linkage specification. e.g. extern ""C"" { ... }",,,,"@noextend This interface is not intended to be extended by clients.
  @noimplement This interface is not intended to be implemented by clients.",,,,,,,,,,,,,,,,,,
3,ICPPASTVirtSpecifier.java,"* A virt-specifier at the end of a function declaration.
 * There are two virt-specifiers, 'final' and 'override'.
 *
 * @noimplement This interface is not intended to be implemented by clients.
 * @noextend This interface is not intended to be extended by clients.
 * @since 5.7",A virt-specifier at the end of a function declaration.,"There are two virt-specifiers, 'final' and 'override'.",,@since 5.7,"@noimplement This interface is not intended to be implemented by clients.
  @noextend This interface is not intended to be extended by clients.",,,,,,,,,,,,,,,,,,
3,ICPPPointerToMemberType.java,"* @noextend This interface is not intended to be extended by clients.
 * @noimplement This interface is not intended to be implemented by clients.",,,,,"@noextend This class is not intended to be subclassed by clients 
 @noimplement This interface is not intended to be implemented by clients.",,,,,,,,,,,,,,,,,,
3,ICSourceNotFoundDescription.java,"* This interface is used to provide a description of a debug element,
 * usually a stack frame, when no source can be located for it.
 * An instance is usually provided by an adapter.","This interface is used to provide a description of a debug element, usually a stack frame, when no source can be located for it.",An instance is usually provided by an adapter.,,,,,,,,,,,,,,,,,,,,,
3,IDsfDebugServicesFactory.java,"* A factory to create DSF services.  Using this interface allows
 * to easily have different service implementation for different backends.
 *
 * @since 1.1",A factory to create DSF services.,,Using this interface allows to easily have different service implementation for different backends.,@since 1.1,,,,,,,,,,,,,,,,,,,
3,IGDBTraceControl.java,"* The TraceControl service provides access to the debugger Tracing functionality.
 * It is used to do such things as start and stop tracing.
 *
 * @since 3.0
 |///////////////////////////////////////////////| GDB specific part|///////////////////////////////////////////////|
         * Marker interface for a context on which trace operations can be performed
         |///////////////////////////////////////////////| GDB specific part|///////////////////////////////////////////////|
         * Specific Trace Record context.  It describes tracing data.
         |///////////////////////////////////////////////| GDB specific part|///////////////////////////////////////////////|
         * This is the model data interface that corresponds to ITraceRecordDMContext.
         |///////////////////////////////////////////////| GDB specific part|///////////////////////////////////////////////|
         * Trace events
         |///////////////////////////////////////////////| GDB specific part|///////////////////////////////////////////////| @since 4.4",The TraceControl service provides access to the debugger Tracing functionality.,"|///////////////////////////////////////////////| GDB specific part|///////////////////////////////////////////////|
         * Marker interface for a context on which trace operations can be performed
         |///////////////////////////////////////////////| GDB specific part|///////////////////////////////////////////////|
         * Specific Trace Record context.  It describes tracing data.
         |///////////////////////////////////////////////| GDB specific part|///////////////////////////////////////////////|
         * This is the model data interface that corresponds to ITraceRecordDMContext.
         |///////////////////////////////////////////////| GDB specific part|///////////////////////////////////////////////|
         * Trace events
         |///////////////////////////////////////////////| GDB specific part|///////////////////////////////////////////////|",It is used to do such things as start and stop tracing.,"@since 3.0
@since 4.4",,,,,,,,,,,,,,,,,,,
3,IInclude.java,"* Represents an include declaration in a C translation unit.
 *
 * @noextend This interface is not intended to be extended by clients.
 * @noimplement This interface is not intended to be implemented by clients.",Represents an include declaration in a C translation unit,,,,"@noextend This interface is not intended to be extended by clients.
  @noimplement This interface is not intended to be implemented by clients.",,,,,,,,,,,,,,,,,,
3,IJSSwitchCase.java,"* A JavaScript switch case from the <a href=""https://github.com/estree/estree/blob/master/spec.md#switchcase"">ESTree
 * Specification</a>","A JavaScript switch case from the <a href=""https://github.com/estree/estree/blob/master/spec.md#switchcase"">ESTree Specification</a>",,,,,,,,,,,,,,,,,,,,,,
3,IMacroEntry.java,"* @noextend This interface is not intended to be extended by clients.
 * @noimplement This interface is not intended to be implemented by clients.",,,,,"@noextend This interface is not intended to be extended by clients. 
  @noimplement This interface is not intended to be implemented by clients.",,,,,,,,,,,,,,,,,,
3,IMIBackend.java,"* Service for controlling the back end process.
 * @since 1.1
 |
	 * Event indicating that the back end process has started or terminated.",Service for controlling the back end process.,Event indicating that the back end process has started or terminated,,@since 1.1,,,,,,,,,,,,,,,,,,,
3,IMSASTDeclspecList.java,"* Represents a Microsoft attribute specifier, introduced by __declspec.
 *
 * @since 6.6
 * @noextend This interface is not intended to be extended by clients.
 * @noimplement This interface is not intended to be implemented by clients.","Represents a Microsoft attribute specifier, introduced by __declspec.",,,@since 6.6,"@noextend This interface is not intended to be extended by clients. 
 @noimplement This interface is not intended to be implemented by clients.",,,,,,,,,,,,,,,,,,
3,INodeFactory.java,"* Control Flow Graph Node factory
 *
 * @noextend This interface is not intended to be extended by clients.",Control Flow Graph Node factory,,,,@noextend This interface is not intended to be extended by clients.,,,,,,,,,,,,,,,,,,
3,IPropertyChangeParticipant.java,"* Implemented by classes which can optionally participate in property
 * change events, and report whether an event would affect them without
 * adapting to it.
 * <p>
 * Clients may implement this interface.
 * </p>
 *
 * @since 5.0","Implemented by classes which can optionally participate in property change events, and report whether an event would affect them without adapting to it.",,,@since 5.0,"<p>
  Clients may implement this interface.
  </p>",,,,,,,,,,,,,,,,,,
3,IRefreshAllTarget.java,"* A retargetable action target which allows a debugger to refresh all of its
 * active views with fresh data from the debug target.
 *
 * @since 1.1",A retargetable action target which allows a debugger to refresh all of its active views with fresh data from the debug target.,,,@since 1.1,,,,,,,,,,,,,,,,,,,
3,IRegisters2.java,"* Service extension of IRegisters to manage user defined Register Groups
 * @since 2.6",Service extension of IRegisters to manage user defined Register Groups,,,@since 2.6,,,,,,,,,,,,,,,,,,,
3,IScannerInfoConsoleParser.java,"* Parses a line of command output looking for scanner info entries.
 *
 * @author vhirsl",Parses a line of command output looking for scanner info entries.,,,,,,,,,,,,@author vhirsl,,,,,,,,,,
3,ITestItem.java,"* Base interface to the structural item of test hierarchy (test suite or test
 * case).
 *
 * @noextend This interface is not intended to be extended by clients.
 * @noimplement This interface is not intended to be implemented by clients.
 |
         * Represents status of the test item.
         *
         * @note Order of values is significant (cause enumeration values comparison
         * is necessary)",Represents status of the test item,"Base interface to the structural item of test hierarchy (test suite or test case).
@note Order of values is significant (cause enumeration values comparison is necessary)",,,"@noextend This interface is not intended to be extended by clients.
  @noimplement This interface is not intended to be implemented by clients.",,,,,,,,,,,,,,,,,,
3,IViewInMemory.java,"* Provides the ability to view a variable in the memory view.
 * @since 7.4",Provides the ability to view a variable in the memory view.,,,@since 7.4,,,,,,,,,,,,,,,,,,,
3,LanguageSettingsProvidersSerializer.java,"* Helper class handling serialization and notifications for language settings entries {@link ICLanguageSettingEntry}.
 | those are for readability of xml only|
	 * Dummy class to represent ill-defined provider.
	 | those are for readability of xml only|
	 * language settings provider listener-cfgDescription association
	 | those are for readability of xml only|
	 * Wrapper for workspace providers to ensure level of indirection. That way workspace providers
	 * can be changed/replaced without notifying/changing the configurations which keep the providers
	 * in their lists.
	 | those are for readability of xml only|
	 * Language Settings Change Event implementation.","Helper class handling serialization and notifications for language settings entries {@link ICLanguageSettingEntry}. | those are for readability of xml only|
 Dummy class to represent ill-defined provider. | those are for readability of xml only|
 language settings provider listener-cfgDescription association | those are for readability of xml only|
  Wrapper for workspace providers to ensure level of indirection. That way workspace providers can be changed/replaced without notifying/changing the configurations which keep the providers in their lists | those are for readability of xml only|
 Language Settings Change Event implementation.",,,,,,,,,,,,,,,,,,,,,,
3,MachOBinaryParserPage.java,* @noextend This class is not intended to be subclassed by clients.,,,,,@noextend This class is not intended to be subclassed by clients.,,,,,,,,,,,,,,,,,,
3,ManageConfigRunner.java,* @noextend This class is not intended to be subclassed by clients.,,,,,@noextend This class is not intended to be subclassed by clients,,,,,,,,,,,,,,,,,,
3,MIAsyncErrorProcessor.java,"* In some cases GDB reports 'exec-*' commands failure after the '^running' event is fired.
 * For instance, if an invalid breakpoint is set no error is reported but the consequent
 * 'exec-continue' command fails.
 *
 * 36-exec-continue --thread 1
 * 36^running
 * *running,thread-id=""all""
 * (gdb)
 * &""Warning:\n""
 * &""Cannot insert breakpoint 2.\n""
 * &""Cannot access memory at address 0x0\n""
 * &""\n""
 * 36^error,msg=""Command aborted.""
 * (gdb)
 *
 * This class handles these type of situations by firing MIErrorEvent when such an error appears.
 *
 * @since 5.3",This class handles these type of situations by firing MIErrorEvent when such an error appears.,,"In some cases GDB reports 'exec-*' commands failure after the '^running' event is fired. For instance, if an invalid breakpoint is set no error is reported but the consequent 'exec-continue' command fails.",@since 5.3,,,,,,,,,,,,"36-exec-continue --thread 1
  36^running
  *running,thread-id=""all""
  (gdb)
  &""Warning:\n""
  &""Cannot insert breakpoint 2.\n""
  &""Cannot access memory at address 0x0\n""
  &""\n""
  36^error,msg=""Command aborted."" 
 (gdb)",,,,,,,
